ticker,ipo_date,board_note
AALI,09 Des 1997,UTAMA
ABBA,2002-04-03 00:00:00,PEMANTAUAN KHUSUS
ABDA,1989-07-06 00:00:00,PEMANTAUAN KHUSUS
ABMM,06 Des 2011,UTAMA
ACES,2007-11-06 00:00:00,UTAMA
ACST,2013-06-24 00:00:00,PENGEMBANGAN
ADES,1994-06-13 00:00:00,PENGEMBANGAN
ADHI,2004-03-18 00:00:00,UTAMA
AISA,1997-06-11 00:00:00,UTAMA
AKKU,2004-11-01 00:00:00,PEMANTAUAN KHUSUS
AKPI,18 Des 1992,PENGEMBANGAN
AKRA,03 Okt 1994,UTAMA
AKSI,2001-07-13 00:00:00,PENGEMBANGAN
ALDO,2011-07-12 00:00:00,PENGEMBANGAN
ALKA,1990-07-12 00:00:00,PENGEMBANGAN
ALMI,1997-01-02 00:00:00,PEMANTAUAN KHUSUS
ALTO,2012-07-10 00:00:00,PEMANTAUAN KHUSUS
AMAG,23 Des 2005,PENGEMBANGAN
AMFG,1995-11-08 00:00:00,PENGEMBANGAN
AMIN,10 Des 2015,PENGEMBANGAN
AMRT,2009-01-15 00:00:00,UTAMA
ANJT,08 Mei 2013,PENGEMBANGAN
ANTM,1997-11-27 00:00:00,UTAMA
APEX,2013-06-05 00:00:00,PENGEMBANGAN
APIC,18 Des 2002,PENGEMBANGAN
APII,29 Okt 2013,PENGEMBANGAN
APLI,01 Mei 2000,PENGEMBANGAN
APLN,2010-11-11 00:00:00,UTAMA
ARGO,1991-01-07 00:00:00,PENGEMBANGAN
ARII,2011-11-08 00:00:00,PENGEMBANGAN
ARNA,2001-07-17 00:00:00,UTAMA
ARTA,2002-11-05 00:00:00,PENGEMBANGAN
ARTI,2003-04-30 00:00:00,PEMANTAUAN KHUSUS
ARTO,2016-01-12 00:00:00,UTAMA
ASBI,1989-11-29 00:00:00,PENGEMBANGAN
ASDM,15 Des 1989,PENGEMBANGAN
ASGR,1989-11-15 00:00:00,UTAMA
ASII,1990-04-04 00:00:00,UTAMA
ASJT,23 Des 2003,PENGEMBANGAN
ASMI,2014-01-16 00:00:00,PEMANTAUAN KHUSUS
ASRI,18 Des 2007,UTAMA
ASRM,1990-03-19 00:00:00,PENGEMBANGAN
ASSA,2012-11-12 00:00:00,UTAMA
ATIC,2015-07-08 00:00:00,PENGEMBANGAN
AUTO,1998-06-15 00:00:00,UTAMA
BABP,2002-07-15 00:00:00,PENGEMBANGAN
BACA,04 Okt 2007,UTAMA
BAJA,21 Des 2011,PENGEMBANGAN
BALI,2014-03-13 00:00:00,UTAMA
BAPA,2008-01-14 00:00:00,PENGEMBANGAN
BATA,1982-03-24 00:00:00,PEMANTAUAN KHUSUS
BAYU,30 Okt 1989,UTAMA
BBCA,31 Mei 2000,UTAMA
BBHI,12 Agt 2015,UTAMA
BBKP,2006-07-10 00:00:00,PENGEMBANGAN
BBLD,07 Mei 1990,PENGEMBANGAN
BBMD,2013-07-08 00:00:00,PENGEMBANGAN
BBNI,1996-11-25 00:00:00,UTAMA
