ticker,name,sector,subsector,industry,subindustry
AALI,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
ABBA,Mahaka Media Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Advertising
ABDA,Asuransi Bina Dana Arta Tbk.,Financials,Insurance,Insurance,General Insurance
ABMM,ABM Investama Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
ACES,Aspirasi Hidup Indonesia Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail
ACST,Acset Indonusa Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
ADES,Akasha Wira International Tbk.,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks
ADHI,Adhi Karya (Persero) Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
AISA,FKS Food Sejahtera Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
AKKU,Anugerah Kagum Karya Utama Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
AKPI,Argha Karya Prima Industry Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
AKRA,AKR Corporindo Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Storage & Distribution
AKSI,Mineral Sumberdaya Mandiri Tbk.,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,Diversified Metals & Minerals
ALDO,Alkindo Naratama Tbk.,Basic Materials,Forestry & Paper,Paper,Paper
ALKA,Alakasa Industrindo Tbk.,Basic Materials,Metals & Minerals,Aluminum,Aluminum
ALMI,Alumindo Light Metal Industry Tbk.,Basic Materials,Metals & Minerals,Aluminum,Aluminum
ALTO,Tri Banyan Tirta Tbk.,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks
AMAG,Asuransi Multi Artha Guna Tbk.,Financials,Insurance,Insurance,General Insurance
AMFG,Asahimas Flat Glass Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
AMIN,Ateliers Mecaniques D Indonesia Tbk.,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components
AMRT,Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Supermarkets & Convenience Store
ANJT,Austindo Nusantara Jaya Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
ANTM,Aneka Tambang Tbk.,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,Diversified Metals & Minerals
APEX,Apexindo Pratama Duta Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas Supports,Oil & Gas Drilling Service
APIC,Pacific Strategic Financial Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
APII,Arita Prima Indonesia Tbk.,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components
APLI,Asiaplast Industries Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
APLN,Agung Podomoro Land Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
ARGO,Argo Pantes Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
ARII,Atlas Resources Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
ARNA,Arwana Citramulia Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
ARTA,Arthavest Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
ARTI,Ratu Prabu Energi Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
ARTO,Bank Jago Tbk.,Financials,Banks,Banks,Banks
ASBI,Asuransi Bintang Tbk.,Financials,Insurance,Insurance,General Insurance
ASDM,Asuransi Dayin Mitra Tbk.,Financials,Insurance,Insurance,General Insurance
ASGR,Astra Graphia Tbk.,Industrials,Industrial Services,Business Support Services,Business Support Services
ASII,Astra International Tbk.,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings
ASJT,Asuransi Jasa Tania Tbk.,Financials,Insurance,Insurance,General Insurance
ASMI,Asuransi Maximus Graha Persada Tbk.,Financials,Insurance,Insurance,General Insurance
ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
ASRM,Asuransi Ramayana Tbk.,Financials,Insurance,Insurance,General Insurance
ASSA,Adi Sarana Armada Tbk.,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries
ATIC,Anabatic Technologies Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting
AUTO,Astra Otoparts Tbk.,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment
BABP,Bank MNC Internasional Tbk.,Financials,Banks,Banks,Banks
BACA,Bank Capital Indonesia Tbk.,Financials,Banks,Banks,Banks
