Ticker,Period Type,Period End,TotalRevenue,CostOfRevenue,GrossProfit,OperatingIncome,EBIT,EBITDA,NetIncome,PretaxIncome,TaxProvision,InterestExpense,DilutedAverageShares,TotalAssets,TotalLiabilitiesNetMinorityInterest,StockholdersEquity,CashAndCashEquivalents,TotalDebt,LongTermDebt,CurrentAssets,CurrentLiabilities,WorkingCapital,Inventory,AccountsReceivable,AccountsPayable,RetainedEarnings,InvestedCapital,OperatingCashFlow,CapitalExpenditure,FreeCashFlow
AALI,annual,2022-12-31,21828591000000.0,18006474000000.0,3822117000000.0,2613301000000.0,2777558000000.0,2934175000000.0,1726607000000.0,2429178000000.0,637128000000.0,348380000000.0,1924688333.0,29249340000000.0,7006119000000.0,21684037000000.0,1619616000000.0,4053767000000.0,4048767000000.0,7390608000000.0,2052939000000.0,5337669000000.0,3395206000000.0,848770000000.0,1224423000000.0,16727788000000.0,25737804000000.0,,-1379444000000.0,455953000000.0
AALI,annual,2023-12-31,20745473000000.0,17974493000000.0,2770980000000.0,1556354000000.0,1753833000000.0,1919708000000.0,1055897000000.0,1498402000000.0,410232000000.0,255431000000.0,1924688333.0,28846243000000.0,6280237000000.0,22016045000000.0,2089508000000.0,4005052000000.0,1689754000000.0,7118202000000.0,3882141000000.0,3236061000000.0,3021550000000.0,674487000000.0,842064000000.0,17026742000000.0,26021097000000.0,,-1236337000000.0,1302401000000.0
AALI,annual,2024-12-31,21815035000000.0,18474414000000.0,3340621000000.0,1932953000000.0,1961859000000.0,2127461000000.0,1147547000000.0,1707128000000.0,520345000000.0,254731000000.0,1924688333.0,28793225000000.0,5591163000000.0,22641918000000.0,3236012000000.0,3189537000000.0,1500000000000.0,8433638000000.0,3237653000000.0,5195985000000.0,3960906000000.0,370613000000.0,711443000000.0,17641523000000.0,25831455000000.0,,-940603000000.0,2438592000000.0
AALI,annual,2025-12-31,28654648000000.0,24023219000000.0,4631429000000.0,2599772000000.0,2364315000000.0,2531854000000.0,1471714000000.0,2226728000000.0,689097000000.0,137587000000.0,1924688333.0,27047104000000.0,2889470000000.0,23556137000000.0,2755715000000.0,0.0,0.0,8662790000000.0,2000352000000.0,6662438000000.0,3518626000000.0,1206608000000.0,911323000000.0,18555742000000.0,23556137000000.0,,-781980000000.0,3428610000000.0
ABBA,annual,2022-12-31,170217448535.0,98347371220.0,71870077315.0,-23912912920.0,-23263855451.0,-12225369955.0,-22020087187.0,-27433033177.0,3534309461.0,4169177726.0,3935892857.0,388884533390.0,359466191290.0,145686065110.0,74448866438.0,104518833297.0,31560719673.0,185904486754.0,172705554621.0,13198932133.0,4283886303.0,37902199334.0,55704891068.0,-287782244254.0,244105976205.0,,-6761328030.0,-102962631976.0
ABBA,annual,2023-12-31,200775734875.0,141571457934.0,59204276941.0,-45952455899.0,-41804099764.0,-33069673551.0,-43705035627.0,-45731804391.0,6678800551.0,3927704627.0,3935892857.0,271136485860.0,376928581607.0,19309431294.0,31456534546.0,101236576763.0,43909499.0,125961808262.0,228553719241.0,-102591910979.0,4507335825.0,49497153668.0,55958822573.0,-347076181844.0,117045864433.0,,-2824194920.0,-61385847517.0
ABBA,annual,2024-12-31,208646955109.0,132244859480.0,76402095629.0,-1961115793.0,16343608151.0,23079892178.0,7507435097.0,12817269159.0,7237331833.0,3526338992.0,3935892857.0,242927394937.0,356643915558.0,16238761795.0,21966209077.0,104955357173.0,0.0,123227664447.0,209685291106.0,-86457626659.0,2080447846.0,61841428852.0,49434008137.0,-349940303357.0,117798385920.0,,-1405384807.0,-34399493403.0
ABBA,annual,2025-12-31,184444403229.0,126198407568.0,58245995661.0,-15199170518.0,-19729303532.0,-13114994605.0,-23641847378.0,-23137776329.0,2539419111.0,3408472797.0,3935892857.0,250182456540.0,350020715165.0,32189845625.0,20713731072.0,101836730176.0,84187239.0,101874505096.0,204968466452.0,-103093961356.0,1724612843.0,44078740902.0,52971335166.0,-371867278016.0,131372116689.0,,-946363857.0,1847421804.0
ADRO,annual,2022-12-31,145097761292000.0,61772338716000.0,83325422576000.0,76592480184000.0,81498645404000.0,81621261480000.0,44646076640000.0,80160129852000.0,29460379168000.0,1338515552000.0,31037420000.0,193089553756000.0,76197984852000.0,107888536800000.0,72838247064000.0,28342006660000.0,24570671400000.0,95258185572000.0,43830044896000.0,51428140676000.0,3567273600000.0,11589215924000.0,5967160496000.0,79025586420000.0,135019067260000.0,,-7227829972000.0,61973230660000.0
ADRO,annual,2023-12-31,38240958096000.0,22702526748000.0,15538431348000.0,13856064288000.0,15734810476000.0,15822434320000.0,29394853796000.0,14659273904000.0,2959870056000.0,1075536572000.0,30917363000.0,187545308588000.0,54869413588000.0,121284866912000.0,59297542656000.0,25774196448000.0,7295253592000.0,77040806964000.0,38237770472000.0,38803036492000.0,3063629008000.0,9321006552000.0,6173657644000.0,92254172296000.0,145054961172000.0,,-10525838884000.0,10117751380000.0
ADRO,annual,2024-12-31,37225162612000.0,21573588520000.0,15651574092000.0,13138060936000.0,15286143444000.0,15350451072000.0,24713272804000.0,14502256560000.0,3086193088000.0,783886884000.0,30731355000.0,120021690316000.0,23840830860000.0,88230137248000.0,25177179544000.0,10383864260000.0,7748003648000.0,46663985896000.0,11593549660000.0,35070436236000.0,1790746276000.0,6267316484000.0,2835910880000.0,59561148416000.0,96509686152000.0,,-14997341128000.0,21107801440000.0
ADRO,annual,2025-12-31,33551139424000.0,22150261936000.0,11400877488000.0,9482053196000.0,11179516700000.0,11252670880000.0,8017304152000.0,10967951588000.0,2195807328000.0,211565112000.0,29337589000.0,122078710644000.0,32467920320000.0,80324955084000.0,18698154684000.0,14707195712000.0,12613804236000.0,39526376428000.0,15416710672000.0,24109665756000.0,2076934024000.0,7036697888000.0,3069538648000.0,57704285804000.0,93667185128000.0,,-14354461836000.0,-3714871336000.0
