Ticker,Current PE Ratio (Annualised),Current PE Ratio (TTM),Forward PE Ratio,IHSG PE Ratio TTM (Median),Earnings Yield (TTM),Current Price to Sales(TTM),Current Price to Book Value,Current Price To Cashflow (TTM),Current Price To Free Cashflow (TTM),EV to EBIT (TTM),EV to EBITDA (TTM),PEG Ratio,PEG Ratio (3yr),PEG (Forward),Current EPS (TTM),Current EPS (Annualised),Revenue Per Share (TTM),Cash Per Share (Quarter),Current Book Value Per Share,Free Cashflow Per Share (TTM),Current Ratio (Quarter),Quick Ratio (Quarter),Debt to Equity Ratio (Quarter),LT Debt/Equity (Quarter),Total Liabilities/Equity (Quarter),Total Debt/Total Assets (Quarter),Financial Leverage (Quarter),Interest Coverage (TTM),Free cash flow (Quarter),Altman Z-Score (Modified),Return on Assets (TTM),Return on Equity (TTM),Return on Capital Employed (TTM),Return On Invested Capital (TTM),Days Sales Outstanding (Quarter),Days Inventory (Quarter),Days Payables Outstanding (Quarter),Cash Conversion Cycle (Quarter),Receivables Turnover (Quarter),Asset Turnover (TTM),Inventory Turnover (TTM),Gross Profit Margin (Quarter),Operating Profit Margin (Quarter),Net Profit Margin (Quarter),Revenue (Quarter YoY Growth),Gross Profit (Quarter YoY Growth),Net Income (Quarter YoY Growth),Dividend,Dividend (TTM),Payout Ratio,Dividend Yield,Latest Dividend Ex-Date,Piotroski F-Score,EPS Rating,Relative Strength Rating,Rank (Market Cap),Rank (Current PE Ratio TTM),Rank (Earnings Yield),Rank (P/S),Rank (P/B),Rank (Near 52 Weeks High),Revenue (TTM),Gross Profit (TTM),EBITDA (TTM),Net Income (TTM),Cash (Quarter),Total Assets (Quarter),Total Liabilities (Quarter),Working Capital (Quarter),Market Cap,Enterprise Value,Current Share Outstanding,Total Equity,Total Debt (Quarter),Net Debt (Quarter),Current Assets (Quarter),Current Liabilities (Quarter),EBIT (TTM),Operating Cash Flow (TTM),Capital expenditure (TTM),Free cash flow (TTM),Inventory (Quarter),Retained Earnings (Quarter),Beta,Earnings Yield Greenblatt (EBIT/EV),ROC Greenblatt,Acquirers Multiple (EV/EBIT),FCF Yield (TTM),NCAV,NCAV per Share,Net-Net Pass,Normalised EBIT (5Y),Normalised EBIT Margin,Normalised/Trailing EBIT,EPV per Share,Revenue CAGR 3Y,Revenue CAGR 5Y,EPS CAGR 3Y,Net Income CAGR 3Y,Gross Margin 5Y Avg,EBIT Margin 5Y Avg,ROE 5Y Avg,Revenue Volatility 5Y,Quarters of History,Years of Annual History,F: ROA Positive,F: CFO Positive,F: ROA Improving,F: Accruals,F: Leverage Falling,F: Current Ratio Improving,F: No Dilution,F: Gross Margin Improving,F: Asset Turnover Improving,F-Score Basis,52W High,52W Low,Pct From 52W High,1Y Price Change,Price CAGR 3Y,Price CAGR 5Y,Price Percentile 10Y,Max Drawdown 10Y,Months of Price History,Latest Filing Date,Quarters Stale,Statement Currency,FX Rate Applied,Data Source,Fetched At
AALI,4.858267344753212,7.321619462231321,12.021992450352865,8.606437955792428,0.13658180477126874,0.48252568533812273,0.587477671732417,,5.638279197523345,3.343559045444511,3.159030398426138,0.04522963279877059,-1.4120527794330777,,1000.4617199495436,1507.7391753483446,15180.539362681324,2675.360946348086,12468.558980972428,1299.155274715327,3.332303029807308,2.1673229890980497,0.0,0.0,0.17701546248055575,0.0,1.2023633130803326,59.61693119486099,1059614000000.0,10.494098790054228,0.0667342057056556,0.0802387606680365,0.11186170761886045,0.08511222852173926,9.569276879678204,58.462371205750216,18.62333894939204,49.40830913603638,38.14290302072169,1.012593701839056,6.243332120680379,0.1762007756370955,0.11482607980471395,0.09352326008903171,0.10439622315670602,0.4582952799590304,1.6187660631262815,458.0,458.0,0.4718,0.0625,2026-04-24,7,,,0.1667,0.75,1.0,1.0,1.0,0.75,29217807000000.0,5208680000000.0,3025424000000.0,1925577000000.0,5149236000000.0,28854423000000.0,4248033000000.0,7698860000000.0,14098342346752,9557406384128,1924688333,23998090000000.0,0.0,-5149236000000.0,10999829000000.0,3300969000000.0,2858453000000.0,,-825976000000.0,2500469000000.0,3845563000000.0,18997695000000.0,0.136,0.2990825005356095,0.1400912791659058,3.343559045444511,0.17735907800366774,6751796000000.0,3507.994455120958,False,2163087000000.0,0.09912499021048343,0.7567334498765591,9980.473810042055,0.0949386633877265,0.0949386633877265,-0.05185089090771,-0.05185089090771,0.15738156147431237,0.08723601231403272,0.05657964681025876,0.13520150076501064,5,4,1,,1,,1,1,1,1,1,annual,9000.0,5825.0,-0.18611111111111112,0.07326007326007326,0.012836873632084744,-0.07342182671640207,0.1692,-0.6781,121,2026-06-30,0.45,IDR,1.0,Yahoo Finance,2026-08-10T01:52:49
ABBA,-4.465616046692475,-4.599444561221328,,8.606437955792428,-0.21741755698745976,0.716179539137188,4.776976226649068,,-21.807417446403527,-7.930030412713029,-11.196360175207596,0.10376942769234698,,,-6.522526709623793,-6.717998073797668,41.888937185060165,4.64326722474092,6.280123361854004,-1.3756787020688963,0.4538655523315693,0.44516740022248663,4.087009032960693,0.0050069491601576555,13.739970648632982,0.436842743086351,9.355790150216164,-6.4829885021512625,-5484120286.0,-8.970254565409126,-0.11101130789698374,-1.0385985009852143,-0.6656956986230952,-0.14011542442171981,76.30413183351479,5.639983172933223,150.45497386258407,-68.51085885613605,4.783489323964529,0.7129362454686425,64.71650513988538,0.46365134390786744,-0.23465281570299787,-0.2346059217057329,-0.40992443167800374,-0.2669287633303912,-0.4432369594306376,,,0.0,,,1,,,0.0833,1.0,0.1111,0.6667,0.1667,0.0833,164870368654.0,53489086052.0,-15743039533.0,-25671966286.0,18275402303.0,231255416879.0,339623119933.0,-108061186329.0,118076784640,176264740864,3935892857,24717892681.0,101022250663.0,82746848360.0,89804351709.0,197865538038.0,-22227498722.0,,-1136604796.0,-5414523977.0,1721064547.0,-378479196393.0,0.397,-0.1261029211687322,-0.15713913992295742,-7.930030412713029,-0.04585595715117197,-249818768224.0,-63.471943292281544,False,-21496579491.5,-0.11160672750548908,0.9671164425812535,,0.02711830317807129,0.02711830317807129,,,0.3409852161992476,-0.12181875915710047,-0.44279899614328644,0.07773032851887514,5,4,0,,0,,0,0,1,0,0,annual,97.0,29.0,-0.6907216494845361,-0.1891891891891892,-0.27887521484629585,-0.41152156063880085,0.0256,-0.9676,120,2026-03-31,1.45,IDR,1.0,Yahoo Finance,2026-08-10T01:52:49
ADRO,7.96988450266671,9.094153758978095,4.9190487256952515,8.606437955792428,0.10996075352396169,2.2033814844834203,0.8343574910773308,,-171.01134869387593,6.476679678611749,6.434170347366829,-0.2599526155346345,-0.208665996775431,,279.3003139508627,318.69972509013405,1152.773519421066,720.3798430653319,3044.2586387284978,-14.852814435385627,4.320731221105315,4.098818339907537,0.21641791197202734,0.1916235985016915,0.3598548669392337,0.14746119273825664,1.4676262137399685,61.25806138306138,645350596000.0,6.814744736032334,0.06251358661237495,0.09174657842722544,0.09562115095656323,0.08567789162414023,60.821159743142324,39.19721528008118,46.009027884965896,54.00934713825762,6.0012009231894705,0.2580162056798094,9.311885994755391,0.3791762669752923,0.3107208460305157,0.27210796232785806,1.1984439027925973,1.2022864225112129,-0.34983890199660045,236.52,236.52,1.1035,0.093100004,2026-04-28,2,,,0.5833,0.3333,0.6667,0.4167,0.75,0.9167,33200447060000.0,11388431428000.0,11369431040000.0,8043987072000.0,20747295492000.0,128675820856000.0,31550690468000.0,35051722376000.0,73153250328576,73152856064000,28800494200,87676153268000.0,18974690020000.0,-1772605472000.0,45607145276000.0,10555422900000.0,11294808404000.0,,-13505121212000.0,-427768396000.0,2342384308000.0,59998963200000.0,-0.255,0.154400101536957,0.11599515798704088,6.476679678611749,-0.005847565133177684,14056454808000.0,488.06297247496536,False,15510476960000.0,0.4110580168818925,1.3732394924474365,3562.1161567428935,-0.3862160600404715,-0.3862160600404715,-0.43582346426884966,-0.43582346426884966,0.41339319370437677,0.4110524659379512,0.26123110924098625,0.7418088340945311,5,4,1,,0,,0,0,1,0,0,annual,2700.0,1625.0,-0.05925925925925926,0.3582887700534759,-0.0026109779392747834,0.08618771612987097,0.5294,-0.6245,121,2026-03-31,1.45,USD,17908.0,Yahoo Finance,2026-08-10T01:52:49
ASII,7.6160523456531495,6.922083207670339,6.641835751308832,8.606437955792428,0.14446518049536058,0.6418562877061221,0.8849223329798146,,9.513659881605982,7.2353754663564995,7.2353754663564995,-1.9270634857658955,1.6387064363395412,,736.7724205263389,669.638254641306,7945.704283422107,1156.060356565026,5763.217640611103,536.0713246043674,1.1866718753001901,0.9544223219832085,0.5180989968183319,0.1896048124902203,0.9765504111827807,0.23166970187573976,2.2363692473529566,12.41324751944221,7735000000000.0,3.441118770860238,0.057164291947593565,0.1278404645583045,0.12916682944252525,0.10760345236527599,32.759818154877316,53.424694576847166,53.24644530635143,32.93806742537305,11.141697987284415,0.6164869187995732,6.832046544973253,0.2139945737901445,0.10230298441542053,0.08433339642879677,-0.049375607298376936,-0.005978898007033997,-0.0359203693017888,390.0,390.0,0.527,0.0765,2026-05-05,3,,,0.6667,0.8333,0.4444,0.8333,0.6667,0.3333,317193000000000.0,69422000000000.0,46289000000000.0,29412000000000.0,46150000000000.0,514517000000000.0,224673000000000.0,29149000000000.0,203592321466368,334918294962176,39920061040,230068000000000.0,119198000000000.0,73048000000000.0,185300000000000.0,156151000000000.0,46289000000000.0,,-14238000000000.0,21400000000000.0,36266000000000.0,219331000000000.0,-0.074,0.13820982817683236,0.14060331027863082,7.2353754663564995,0.10511201918553263,-39373000000000.0,-986.2960870863438,False,54915500000000.0,0.17162246838459458,1.1863617706150489,6454.220150275489,0.02377714072291437,0.02377714072291437,0.04224114249000288,0.04224114249000288,0.22699749007819098,0.17356719508805768,0.15464734317744527,0.032125561298127665,5,4,1,,0,,1,0,1,0,0,annual,7475.0,4350.0,-0.3177257525083612,0.028225806451612902,-0.04058597568732991,-0.03278588675423966,0.2451,-0.5698,121,2026-06-30,0.45,IDR,1.0,Yahoo Finance,2026-08-10T01:52:49
BBCA,13.18348706182182,13.376402796519187,13.212982921571879,8.606437955792428,0.07475851431897822,6.90211599149447,2.8957376104304426,15.79543239300565,16.723907500434745,,,2.68711297868091,1.0964621286965774,,476.58552878348615,483.55946875856694,923.6297822139564,779.1583316510402,2201.511620748116,381.190812606072,,,0.008089590578775521,,5.139492004628958,0.0013174492495310684,6.140343228898511,,-16453704000000.0,,0.03525552783345005,0.216481041613368,,,,,10.866084965401996,,,0.06832573279714713,,,,0.5139943068667557,0.04378786336812061,,0.049779830258888456,356.0,356.0,0.7542,0.0558,2026-06-17,5,,,1.0,0.1667,,0.0833,0.25,0.4167,113460300000000.0,,,58544601000000.0,95713174000000.0,1660579336000000.0,1389911590000000.0,,783116151029760,757349031608320,122841751300,270437543000000.0,2187729000000.0,-93525445000000.0,,,,49578646000000.0,-2752499000000.0,46826147000000.0,,251487039000000.0,-0.047,,,,0.059794638302920804,,,False,,,,,0.08491220663730958,0.08491220663730958,0.12199603111163015,0.12199603111163015,,,0.20255617000565102,0.09048591218916652,5,4,1,1,0,1,1,,1,,0,annual,8975.0,4820.0,-0.28969359331476324,-0.2319277108433735,-0.10017640141572959,-0.031334575285675736,0.4709,-0.4625,121,2026-06-30,0.45,IDR,1.0,Yahoo Finance,2026-08-10T01:52:49
BBRI,7.6051821100115795,8.18352101322806,7.110565892001182,8.606437955792428,0.12219679015714306,2.484238900885549,1.3935381647183467,11.628813324493157,13.884543875741423,,,3.067505978533921,2.3715634843157556,,382.4759531918578,411.5614793601878,1259.9432049816628,1202.6212647910315,2246.0812909509486,225.43051833272577,,,0.6116720136639142,,5.632027522787994,0.0919488579322651,6.652306808579477,,48987793000000.0,,0.02559802119626239,0.1702858906900581,,,,,4.268409598465984,,,0.0843243937247712,,,,0.3122531157873479,0.15172808412353903,,0.02667809311699949,418.0,418.0,0.8879,0.13350001,2026-04-21,5,,,0.9167,0.6667,,0.25,0.4167,0.5,189715857000000.0,,,57591289000000.0,181084610000000.0,2249833632000000.0,1904771578000000.0,,471299512074240,602236287713280,150574927703,338203528000000.0,206869633000000.0,25785023000000.0,,,,40528599000000.0,-6584415000000.0,33944184000000.0,,235133403000000.0,0.168,,,,0.07202253159696259,,,False,,,,,0.06712496416799807,0.06712496416799807,0.03450686042077078,0.03450686042077078,,,0.1819588476131459,0.07016882509945664,5,4,1,1,0,0,1,,1,,1,annual,4270.0,2540.0,-0.26697892271662765,-0.15633423180592992,-0.14226285027222607,-0.05934345526550466,0.2771,-0.5543,121,2026-03-31,1.45,IDR,1.0,Yahoo Finance,2026-08-10T01:52:49
BMRI,6.523559593408067,6.510433401690575,6.390546813769819,8.606437955792428,0.15359960517226523,2.8499798667559078,1.3779276631778261,5.589454542005267,6.152040361760207,,,0.46926929337162476,0.5922924453035818,,651.2623259304046,649.9519072814846,1495.5366966687088,2921.043357007623,3077.0846056037226,692.8188413706948,,,0.7936495583044105,,7.851710352904494,0.08936155614931811,8.881330994038052,,-17333122000000.0,,0.023830791258892852,0.21164914502005616,,,,,23.80596209790054,,,0.0547242200558899,,,,0.49609739179762014,-0.052667802379681,,0.13873555107162783,476.96,476.96,0.7147,0.1125,2026-05-11,5,,,0.8333,0.9167,,0.1667,0.5,0.6667,138319198000000.0,,,60233950000000.0,270161458000000.0,2527568193000000.0,2234544953000000.0,,394206929485824,548205532020736,92487999999,284593401000000.0,225867427000000.0,-44294031000000.0,,,,70526905000000.0,-6449476000000.0,64077429000000.0,,211843668000000.0,-0.06,,,,0.16254769819388545,,,False,,,,,0.06625339802016428,0.06625339802016428,0.10991923758800648,0.10991923758800648,,,0.1940987706313359,0.0736997424139146,5,4,1,1,0,1,1,,1,,0,annual,5375.0,3650.0,-0.2111627906976744,-0.09401709401709402,-0.09259744683497995,0.03398631152853859,0.4004,-0.469,121,2026-06-30,0.45,IDR,1.0,Yahoo Finance,2026-08-10T01:52:49
GGRM,7.267385892087327,12.156105736290913,11.135144000861084,8.606437955792428,0.08226318705130985,0.49455193176470497,0.6530905598092938,,4.116592149393548,6.559471766809973,5.708213058225481,,-0.6916141602597012,,1787.1677386897065,2989.3830219823626,43928.65191197076,4531.993858908741,33264.91199986695,5277.4233818827415,3.644119620193322,1.0854711143328675,0.0,,0.21528579390943323,0.0,1.2153346341353057,45.2719646481884,3625914000000.0,10.570369746914107,0.04420618764087262,0.053725310883036594,0.07635293025571262,0.05493834455534121,7.644740651114911,148.40886231015105,3.4677458036341102,152.58585715763186,47.745242992222146,1.0865897963528084,2.4594218587647934,0.1350348594689898,0.08983013904714872,0.06826849959362943,-0.08683851048192186,0.4182480365118298,,800.0,800.0,0.3486,0.0368,2026-07-02,7,,,0.4167,0.25,0.5556,0.9167,0.9167,1.0,84522592000000.0,10447843000000.0,5792172000000.0,3438668000000.0,8719955000000.0,77787029000000.0,13779285000000.0,31124876000000.0,41800811151360,33062951845888,1924088000,64004618000000.0,0.0,-8719955000000.0,42896233000000.0,11771357000000.0,5040490000000.0,,-2070274000000.0,10154227000000.0,30118765000000.0,62822253000000.0,0.73,0.1524513002799803,0.08797324239785671,6.559471766809973,0.2429193769286372,29116948000000.0,15132.85670925654,False,3370341500000.0,0.030976196332054708,0.6686535436038956,17525.737754566093,-0.10505817796352535,-0.10505817796352535,-0.17576426907925502,-0.17576426907925502,0.09780300641309869,0.03151842209959861,0.03646174061579675,0.13369662990744746,5,4,1,,1,,1,1,1,1,1,annual,21800.0,8300.0,-0.0034403669724770644,1.4757834757834758,-0.022710202013907832,-0.08297115697139057,0.1717,-0.9002,121,2026-06-30,0.45,IDR,1.0,Yahoo Finance,2026-08-10T01:52:49
ITMG,7.152431543490313,8.6589213706021,6.105399238434977,8.606437955792428,0.11548782546924373,0.8249312053815269,0.815850091763179,,7.543223835372621,5.349185651409854,4.72377720049651,-0.5465307924646912,-0.18900656933340632,,2901.6316149147488,3512.791397894213,30457.08490032865,12001.35729950809,30796.098760865447,3330.803951675986,3.6128903607374867,3.364554314462882,0.04253747768967816,0.015332185175410505,0.250423257187027,0.03391155452768069,1.254365312417526,32.436051026067666,950592456000.0,9.482836647895104,0.07511428455002615,0.0942207530066125,0.14150327540660096,0.09708708029976061,25.12598303525848,21.66962585668198,35.54007336531236,11.255535526628101,14.526794811880885,0.7884399005057044,16.843853346339607,0.26679890750577295,0.15331898379547287,0.10988048081000529,0.031213472713858194,-0.019187292205393426,-0.1584342820201025,1730.0,1730.0,1.1162,0.0689,2026-04-28,3,,,0.3333,0.4167,0.8889,0.5833,0.8333,0.8333,33956576544000.0,8600137920000.0,5929786500000.0,3235026476000.0,13380302452000.0,43068059496000.0,8598168040000.0,15839017128000.0,28011839619072,28010990272512,1114899100,34334542792000.0,1460504848000.0,-11919797604000.0,21900893036000.0,6061875908000.0,5236496188000.0,,-1743898948000.0,3713510328000.0,1505382296000.0,27219031796000.0,-0.646,0.18694434352571698,0.22164236575375276,5.349185651409854,0.13256931277985892,13302724996000.0,11931.774809038772,False,10247342622000.0,0.24460119363633331,1.9569082558453683,70434.64708779476,-0.19723567990485236,-0.19723567990485236,-0.4581280640742079,-0.4581280640742079,0.30798850163749075,0.2441842730459814,0.2369657329458933,0.2571330538689723,5,4,1,,0,,1,0,1,0,0,annual,30700.0,20900.0,-0.18159609120521172,0.08648648648648649,-0.017912403735193427,0.030695699183597602,0.475,-0.7695,121,2026-03-31,1.45,USD,17908.0,Yahoo Finance,2026-08-10T01:52:49
PTBA,8.5087399851614,8.606437955792428,5.795896407522437,8.606437955792428,0.11619208842689277,0.6543574974842544,1.1595984659205907,,9.615403491404846,6.023260949683455,5.6239505178417275,-0.1504604272323679,-0.2238140092295831,,275.3752495717359,278.5371281920826,3621.8731200223415,364.0884949805116,2043.8109135635038,246.47949856101584,1.2678916791194372,0.9393960952971049,0.11556569368111877,0.08670498223167479,0.831068310434519,0.0629131977443543,1.8369070055970786,24.756479289075973,1144204000000.0,2.8353029930304974,0.07334947663729936,0.13473616749193446,0.12855352901731448,0.1306036442040241,42.367562984639605,35.025142877098084,21.536403192292934,55.856302669444744,8.615081309546435,0.9647290314343796,10.421085255262808,0.15547081781342922,0.08039701413594459,0.08074687287317812,-0.17997412675741709,-0.4048553544174334,-0.572006747162882,114.51,114.51,1.1463,0.048299998,2026-06-23,2,,,0.25,0.5,0.7778,0.75,0.5833,0.5833,41703541000000.0,6481836000000.0,4535127000000.0,3170769000000.0,4192245000000.0,43228243000000.0,19557671000000.0,2756304000000.0,27289024724992,25505329840128,11514357245,23533169000000.0,2719627000000.0,-1472618000000.0,13045179000000.0,10288875000000.0,4234472000000.0,,-3503174000000.0,2838053000000.0,3379850000000.0,6568137000000.0,-0.342,0.16602302446360948,0.14029298019578132,6.023260949683455,0.10399979583736597,-6512492000000.0,-565.5975284966938,False,7351906000000.0,0.1723769973461059,1.7362037108758779,4278.137802384991,2.4494152769394262e-05,2.4494152769394262e-05,-0.3845352659298529,-0.3845352659298529,0.21485914242960102,0.1826569491367996,0.2558196660191703,0.04368710780189294,5,4,1,,0,,0,0,1,0,0,annual,3220.0,2170.0,-0.2639751552795031,-0.0125,-0.015009092033274718,-0.02428560930132051,0.1864,-0.5815,121,2026-03-31,1.45,IDR,1.0,Yahoo Finance,2026-08-10T01:52:49
